keywords,Duo,Large Group,Small Group,Solo,Unknown
tradicional portuguesa,0,5,0,0,0
tradicional. membrafone,0,0,1,0,0
tradicionçal,0,0,1,0,0
tradição,0,0,1,11,0
tradição horal,0,0,0,1,0
tradição líquida,0,0,1,0,0
tradição oral,25,0,3,143,0
tranglomango,0,1,0,1,0
trautear,0,0,0,1,0
trava-linguas,2,1,2,8,0
traval-linguas,0,0,0,1,0
travalinguas,15,0,0,3,0
tricô,0,0,0,1,0
trio,1,0,24,0,0
trip pop,0,0,1,1,0
trip-hop,0,0,1,0,0
trongomongo,0,1,0,0,0
trovador,0,0,0,1,0
trovadores,0,2,0,0,0
trovoada,1,0,0,0,0
ttrava-linguas,1,0,2,2,0
tuna,1,39,4,0,0
uma janela para o mundo,0,0,0,2,0
urbe,1,1,0,0,0
valsa,1,1,1,5,0
valsa mandada,1,0,0,0,0
valsas,1,0,0,0,0
varanda,0,0,0,1,0
varina,1,0,1,3,0
vasco negreiros,0,0,0,1,0
ventriloquista,1,0,0,0,0
versos,0,0,0,6,0
videoclip,0,0,0,1,0
vindimas,0,0,0,1,0
viola,0,0,0,2,0
viola acústica,1,0,0,0,0
viola campaniça,2,3,10,1,0
viola de arame,9,4,10,2,0
violas,0,0,0,1,0
vira,7,6,4,20,0
voz,1,0,0,1,0
voz dobrada,0,0,0,1,0
world music,0,0,0,6,0
xaramba,0,0,0,1,0
xota,1,1,0,0,0
zamburra,0,1,1,6,0
zeca,0,0,1,2,0
zeca afonso,0,7,1,2,0
zurra-burros,0,1,0,5,0
zés pereiras,0,2,0,0,0
à capella,0,0,1,0,0
à cappela,1,0,3,0,0
àrabe,1,0,0,0,0
ângelo lima,1,0,0,0,0
étnica,0,0,0,3,0
ópera,0,0,3,0,0
